,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With box,39.5 x 35.5 mm,Black,18396,77301st.zz.d002cr.01,3 ATM,http://www.chrono24.com/audemarspiguet/ladies-millenary-millenary-black--white--id4306157.htm,Ladies' watch,Audemars Piguet,Black,Available now,,Steel,"Russia, Moscow",,"$6,000",1 (mint),Automatic
,39 mm,,K10435,5402st,,http://www.chrono24.com/audemarspiguet/vintage-royal-oak-jumbo-d-series-ref-5402st-stainless-steel-bj-1980--id5261752.htm,,Audemars Piguet,,Available now,,Steel,"Germany, München",Date,,1 (mint),Automatic
,39 x 49.5 mm,Brown,21862,26300ST.OO.1110ST.08,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-39-mm--id5724535.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Russia, Moscow",,"$11,000",1 (mint),Automatic
With papers,41 x 9.1 mm,Brown,22896,26390OR.OO.D093CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/jules-audemars-perpetual-calendar--id5167646.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Russia, Moscow",,"$22,500",1 (mint),Automatic
With box,44 mm,Grey,26405CEOOA002CA01,26405CE.OO.A002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/new--royal-oak-offshore-ceramics-black-automatic-26405ceooa002ca01--id5006272.htm,,Audemars Piguet,Black,Available now,Buckle,Ceramic,"Hong Kong SAR, Kowloon",,,0 (unworn),Automatic
With papers,,,,25980AI,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-cw1-alacrite-concept-tourbillon-25980ai--id4853221.htm,,Audemars Piguet,,Available now,,Titanium,"Monaco, Monaco",,,1 (mint),
With box,44 mm,Black,26401ROOOA002CA01,26401RO.OO.A002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/new--royal-oak-offshore-18k-rose-gold-black-automatic-26401roooa002ca01--id5365439.htm,,Audemars Piguet,Black,Available now,Buckle,Pink gold,"Hong Kong SAR, Kowloon",,,0 (unworn),Automatic
With papers,39.5 x 35.4 mm,White,19609,77247BC.ZZ.A813CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/millenary-small-seconds-hand-wound--id5018236.htm,Ladies' watch,Audemars Piguet,,Available now,,White gold,"Russia, Moscow",,"$19,500",0 (unworn),Manual winding
With papers,28 x 25 mm,White,19518,79382BA.ZZ.9186BA.01,2 ATM,http://www.chrono24.com/audemarspiguet/millenary-lady--id3743765.htm,Ladies' watch,Audemars Piguet,,Available now,,Yellow gold,"Russia, Moscow",,"$85,000",0 (unworn),Manual winding
With papers,,,,,,http://www.chrono24.com/audemarspiguet/26470stooa101cr01--id5352083.htm,,Audemars Piguet,,Available now,,Steel,"Hong Kong SAR, 九龍",,,0 (unworn),Automatic
,44 x 58 mm,Blue,22061,25977ST.OO.1205ST.01,2 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-tourbillon-chronograph--id4674170.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Russia, Moscow",,"$69,500",0 (unworn),Manual winding
With papers,,,,,,http://www.chrono24.com/audemarspiguet/26401roooa002ca01--id2985680.htm,,Audemars Piguet,,Available now,,Pink gold,"Hong Kong SAR, 九龍",,,0 (unworn),Automatic
With papers,,,,26221FT.OO.D002CA.01,,http://www.chrono24.com/audemarspiguet/concept-laptimer-michael-schumacher--id3518069.htm,,Audemars Piguet,,Available now,,Carbon,"Hong Kong SAR, TST",,,0 (unworn),Manual winding
With papers,41 mm,Grey,20700,26325TS.OO.D005CR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-leo-messi-limited-edition-chronograph--id4137850.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,,"Russia, Moscow",,"$23,500",1 (mint),Automatic
,20 mm,Mother of pearl,31101503,,,http://www.chrono24.com/audemarspiguet/18k-wg-rare-blue-mop-dial-diamond-set-royal-oak-ladies--id3793427.htm,Ladies' watch,Audemars Piguet,Silver,Available now,Double-fold clasp,White gold,"United Kingdom, London",,,2 (fine),Quartz
With papers,41 mm,Black,,26320OR.OO.1220OR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph--id2987806.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,Pink gold,"UAE, Dubai",,"$41,500",0 (unworn),Automatic
With box,36 mm,White,29041601,25657BA,,http://www.chrono24.com/audemarspiguet/18k-yg-quantieme-perpetual-calendar-moonphase-25657ba--id4383042.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Yellow gold,"United Kingdom, London",,,2 (fine),Automatic
With papers,33 x 42 mm,Silver,,67610st.oo.d062cr.01,,http://www.chrono24.com/audemarspiguet/audemars-piguet-lady-royal-oak-quartz-alinghi-box--papers--id5493668.htm,Men's watch/Unisex,Audemars Piguet,Orange,Available now,Fold clasp,Steel,"Spain, Barcelona",,,2 (fine),Quartz
With papers,45 mm,Black,cbb801855656c4e8c1c43be10747c18d,26268SN.OO.D003CU.01,,http://www.chrono24.com/audemarspiguet/--royal-oak-offshore-las-vegas-strip-tourbillion--id5576158.htm,,Audemars Piguet,,Available now,,Steel,"UAE, Dubai",,price on request,1 (mint),Manual winding
With papers,,,,67651OR.ZZ.D080CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-quartz--id5059304.htm,Ladies' watch,Audemars Piguet,,Available now,,Pink gold,"UAE, 213858",,"$18,500",0 (unworn),Quartz
With box,41 mm,Silver,15400SROO1220SR01,15400SR.OO.1220SR.01,5 ATM,http://www.chrono24.com/audemarspiguet/new--royal-oak-rose-gold-silver-automatic-15400sroo1220sr01--id5006823.htm,,Audemars Piguet,,Available now,"Fold clasp, hidden",Pink gold,"Hong Kong SAR, Kowloon",,price on request,0 (unworn),Automatic
With box,42 x 54 mm,Black,23405,26176FO.OO.D101CR.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-bumble-bee-chronograph--id5583109.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,,"Russia, Moscow",,"$16,000",1 (mint),Automatic
With box,45 x 40 mm,White,20042,15320BC.OO.D028CR.01,3 ATM,http://www.chrono24.com/audemarspiguet/millenary-millenary-novelty-automatic--id4538408.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,White gold,"Russia, Moscow",Date,"$10,500",1 (mint),Automatic
With papers,,,,15202OR.OO.1240OR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-extra-thin--id3468693.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"UAE, Dubai",,"$38,000",0 (unworn),Automatic
,47 x 42 mm,Silver,19659,26150PT.OO.D028CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/millenary-maserati-dual-time--id3788597.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Platinum,"Russia, Moscow",,"$27,500",1 (mint),Automatic
With papers,37 mm,Black,OW500371,26048SK.ZZ.D002CA.01,5 ATM,http://www.chrono24.com/audemarspiguet/ladies-royal-oak-offshore---26048skzzd002ca01--id5570976.htm,,Audemars Piguet,Black,Available now,Fold clasp,Steel,"United Kingdom, London",,,2 (fine),Automatic
With papers,44 mm,,,26039BC,2 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-tourbillon-chronograph-weissgold--id3119544.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,White gold,"Germany, München",,,0 (unworn),Manual winding
With papers,48 mm,Black,,26133ST.OO.A101CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-shaquille-oneil---ap-revision-2016--id5121402.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,"Germany, Pirmasens",,,1 (mint),Automatic
With box,38.6 mm,Black,25859STOO0001CR02,25859ST.OO.0001CR.02,2 ATM,http://www.chrono24.com/audemarspiguet/new--jules-audemars-stainless-steel-black-automatic-25859stoo0001cr02--id5005972.htm,,Audemars Piguet,Black,Available now,Fold clasp,Steel,"Hong Kong SAR, Kowloon",,,0 (unworn),Automatic
With papers,43 mm,Black,20745,26094OR.OO.D002CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/jules-audemars-perpetual-calendar-chronograph-arnolds-all-stars--id4663874.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Russia, Moscow",,"$33,500",1 (mint),Automatic
With papers,41 mm,Blue,,26510ST.OO.1220ST.01,,http://www.chrono24.com/audemarspiguet/royal-oak-tourbillon-extra-thin--id5312205.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Spain, MARBELLA",,,1 (mint),Manual winding
With papers,44 mm,,18dca5b22f8380091d1a8525ce748b39,25940SK.OO.D002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--id5624731.htm,,Audemars Piguet,,Available now,,Steel,"Russia, Москва",,"$11,000",1 (mint),
With papers,,,,15202OR.OO.1240OR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-extra-thin--id4085309.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Lithuania, VILNIUS",,,0 (unworn),Automatic
With papers,42 mm,Black,,25940SK.OO.0002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-chrono-rubber--id4651953.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,"Fold clasp, hidden",Steel,"Italy, Brescia",,,1 (mint),Automatic
With papers,,,,Sachin Tendulkar26182st00d018cr,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-sachin-tendulkar--id3641898.htm,,Audemars Piguet,,Available now,,Steel,"Germany, Hünxe",,,1 (mint),Automatic
With papers,41 mm,,,15400ST,,http://www.chrono24.com/audemarspiguet/royal-oak-15400st--id5555216.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"France, Reims",,,1 (mint),Automatic
With papers,,,,26470OR.OO.1000OR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-26470oroo1000or01--id5688994.htm,,Audemars Piguet,,Available now,,,"United Kingdom, London",,,1 (mint),Automatic
With papers,47 mm,,5c5131bedcd7f9dc36a8f2beb4bd02c0,26145OR.OO.D095CR.01,10 ATM,http://www.chrono24.com/audemarspiguet/millenary-chronograph--id5289061.htm,,Audemars Piguet,,Available now,,Pink gold,"Russia, Москва",,"$13,500",1 (mint),
With papers,47 x 42 mm,Grey,18217,15350OR.OO.D093CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/millenary-4101--id5410866.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,Pink gold,"Russia, Moscow",,"$22,500",0 (unworn),Automatic
With papers,44 mm,Black,,26400AU.OO.A002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-carbon-44mm-chronograph--id4476704.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Carbon,"Germany, Düsseldorf",,,1 (mint),Automatic
With papers,42 mm,White,,25940SK.OO.D002CA.02,,http://www.chrono24.com/audemarspiguet/offshore-chronograph-stahl---rubber---25940skood002ca02--id4885078.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Steel,"Germany, Düsseldorf",,,1 (mint),Automatic
With papers,41 mm,White,,15400ST.OO.1220ST.02,,http://www.chrono24.com/audemarspiguet/royal-oak-white-dial--id5716954.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Austria, Wien",,,1 (mint),Automatic
,42 mm,Grey,OW500403,26470ST.OO.A104CR.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore---26470stooa104cr01--id5646461.htm,,Audemars Piguet,Grey,Available now,Buckle,Steel,"United Kingdom, London",,price on request,0 (unworn),Automatic
With papers,,,,15701ST.OO.D002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-scuba-boutique-orange--id5041326.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Steel,Switzerland,,,1 (mint),Automatic
With papers,41 mm,Blue,,15400ST.OO.1220ST.03,,http://www.chrono24.com/audemarspiguet/royal-oak-41mm-boutique-edition-blue--id4972572.htm,Men's watch/Unisex,Audemars Piguet,,Available now,"Fold clasp, hidden",Steel,"Sweden, Gothenburg",,,1 (mint),Automatic
With papers,42 mm,Brown,,26192OR.D0801CR.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-limited-edicion-don-ramon-de-la-cruz--id4414241.htm,,Audemars Piguet,Brown,Available now,Fold clasp,Pink gold,"Spain, Madrid",,,1 (mint),Automatic
With papers,41 mm,White,,26326ST,,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-tribute-to-italy--id4133752.htm,Men's watch/Unisex,Audemars Piguet,Blue,Available now,,Steel,"Spain, Marbella",,,0 (unworn),Automatic
With papers,,,,26022or00-d088cr,,http://www.chrono24.com/audemarspiguet/royal-oak-chronografp-oro-rosa--id5576081.htm,Men's watch/Unisex,Audemars Piguet,Brown,Available now,Jewelry clasp,Pink gold,Spain,,,1 (mint),Automatic
With papers,,,,25770SN.O.0001KE.01,,http://www.chrono24.com/audemarspiguet/end-of-day-royal-oak-offshore-limited-edition--id2907370.htm,,Audemars Piguet,,Available now,,Steel,"Germany, München",,,2 (fine),
With papers,49 x 29 mm,Gold,21121,26049OR.OO.D088CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/edward-piguet-tourbillon-moss-agate--id4340664.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Russia, Moscow",,"$90,000",0 (unworn),Manual winding
With papers,,Black,,15400OR.OO.1220OR.03,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-selfwinding--id4070046.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"UAE, Dubai",,"$37,000",0 (unworn),Automatic
With papers,36 mm,White,347,25730BA.OO.0789BA.06,,http://www.chrono24.com/audemarspiguet/royal-oak-gelbgold-25730baoo0789ba06--id5329694.htm,,Audemars Piguet,Gold,Available now,,Yellow gold,"Germany, Berlin",,,2 (fine),Automatic
With papers,37 x 48 mm,Black,17968,26048SK.ZZ.D002CA.01,5 ATM,http://www.chrono24.com/audemarspiguet/ladies-royal-oak-offshore-chronograph--id5465291.htm,Ladies' watch,Audemars Piguet,,Available now,,Steel,"Russia, Moscow",,"$14,500",1 (mint),Automatic
With papers,41 mm,White,LISTADO 17,15400SR.OO.1220SR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-steel-rose-gold-41mm--id5164980.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Double-fold clasp,Gold/Steel,"Spain, Marbella",Date,,0 (unworn),Automatic
With papers,44 x 14.3 mm,,a6eeefb8f06e590ddc8ec5ef44decb9c,26400AU.OO.A002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/chronograph-carbon-44mm--id5314623.htm,,Audemars Piguet,,Available now,,,"Russia, Москва",,"$23,000",1 (mint),
With papers,,,,15300ST,,http://www.chrono24.com/audemarspiguet/royal-oak--id5300087.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"France, Reims",,,1 (mint),Automatic
With papers,42 mm,Black,,15703ST.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-lc100-bp--id4596755.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,"Germany, Schloß Holte",,,1 (mint),Automatic
With papers,42 x 14.8 mm,,22227,26703ST.OO.A070CA.01,30 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-chronograph--id4747679.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Russia, Moscow",,"$25,000",0 (unworn),Automatic
With papers,39 mm,Black,,15300OR.OO.D0002CR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-jumbo--id4970653.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Pink gold,"Italy, Caldiero (Verona)",Date,,1 (mint),Automatic
With papers,39 mm,,,14802ST,,http://www.chrono24.com/audemarspiguet/royal-oak-jubilee--id5388226.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"France, Reims",,,1 (mint),Automatic
With papers,42 mm,Grey,,26170TI.OO.1000TI.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id4186806.htm,Men's watch/Unisex,Audemars Piguet,Silver,Available now,Double-fold clasp,Titanium,Switzerland,,,0 (unworn),Automatic
With papers,44 mm,Black,,26400RO.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshoresetting--id4218254.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,,Pink gold,"Spain, Marbella",,,1 (mint),Automatic
With papers,42 mm,White,,15710ST.OO.A002CA.02,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver--white-dial--deutsche-uhr----id4562545.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,"Germany, Gelsenkirchen",Date,,0 (unworn),Automatic
With papers,39 mm,,,25807ST,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-triple-calendar-full-set--id5411628.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Italy, Lusciano",,,1 (mint),Automatic
With papers,41 mm,White,,26574ST.OO.1220ST.01,,http://www.chrono24.com/audemarspiguet/royal-oak-perpetual-calendar--id5463780.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Austria, Wien",,,0 (unworn),Automatic
With papers,,,,15400OR.OO.D088CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-selfwinding--id3449240.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Lithuania, VILNIUS",,,0 (unworn),Automatic
With papers,,,,26513BA.OO.1220BA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-tourbillon-extra-thin-openworked-yellow-gold--id4677319.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Yellow gold,"Switzerland, Geneva  (www.k2luxury.ch)",,"$200,000",0 (unworn),Manual winding
,39 mm,Silver,07101603,,,http://www.chrono24.com/audemarspiguet/18k-yg-silver-dial-rare-20-dollar-coin-vintage-watch-nos--id4952032.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Yellow gold,"United Kingdom, London",,,0 (unworn),Manual winding
With papers,,,,26401RO.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-rose-gold-chronograph-26401ro--id4928202.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Switzerland, Geneva  (www.k2luxury.ch)",,"$39,900",0 (unworn),Automatic
With papers,44 mm,Silver,,26400SO,,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-steel-case-ceramic-bezel--id4710516.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,,Ceramic,"Denmark, Hellerup",Date,,0 (unworn),Automatic
With papers,44 mm,Blue,1626,26401PO.OO.A018CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-platin-26401poooa018cr01--id5329597.htm,,Audemars Piguet,,Available now,,Platinum,"Germany, Berlin",,,1 (mint),Automatic
With papers,44 mm,Blue,18073,26388PO.OO.D027CA.01,2 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--tourbillon-chronograph-10-days--id5695898.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Platinum,"Russia, Moscow",,price on request,0 (unworn),Manual winding
With papers,39 mm,Silver,4089,25654st,3 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-ref-25654st---mondphaseewiger-kalender---full-set---vollrevision---bj-121992---39mm---aaw--id4579944.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"Germany, Frankfurt am Main",Date,,1 (mint),Automatic
With papers,41 mm,Black,,26320ST.OO.1220ST.01,,http://www.chrono24.com/audemarspiguet/royal-oak-chrono-41mm-26320st--id5321499.htm,,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"Italy, Brescia",,,1 (mint),Automatic
With papers,42 mm,Black,,26470 ST,,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-26470-st--id2998779.htm,,Audemars Piguet,Black,Available now,Buckle,Steel,"France, Lyon",,,1 (mint),Automatic
With box,39 mm,Black,0f28aa739d5e9b76266ac82797d7485d,26120OR.OO.D002CR.01,,http://www.chrono24.com/audemarspiguet/--royal-oak-dual-time--id5576141.htm,,Audemars Piguet,,Available now,,Pink gold,"UAE, Dubai",,price on request,1 (mint),Automatic
With papers,,Pink,,26170ST.OO.D091CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-safari-from-7-2010-complete-b--p--id5640953.htm,Men's watch/Unisex,Audemars Piguet,Brown,Available now,Fold clasp,Steel,"Netherlands, Maastricht",,,2 (fine),Automatic
With papers,,White,,15202.ST.OO.0944ST.01,,http://www.chrono24.com/audemarspiguet/royal-oak-automatic-jumbo-white-dial---discontinued----id4304131.htm,,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"United Kingdom, London",,,2 (fine),Automatic
With box,41 mm,White,19164,26320ST.OO.1220ST.02.,,http://www.chrono24.com/audemarspiguet/royal-oak-41mm-chronograph-stainless-steel-unisex-26320stoo1220st02--id5599429.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"United Kingdom, Bishop's Stortford",,,1 (mint),Automatic
With papers,44 mm,Transparent,5338934ba509b25842b0b7e53b74a922,25980A1.OO.D003SU.01,,http://www.chrono24.com/audemarspiguet/--royal-oak-concept-alacrite-cw1--id5576193.htm,,Audemars Piguet,,Available now,,Titanium,"UAE, Dubai",,price on request,1 (mint),Manual winding
With papers,33 mm,,7232,77240BC.ZZ.A808CR.01,,http://www.chrono24.com/audemarspiguet/jules-audemars-piguet-diamonds-18k-white-gold-ladies-77240bczza808cr01--id3034410.htm,Ladies' watch,Audemars Piguet,Brown,Available now,,White gold,"United Kingdom, Bishop's Stortford",,,0 (unworn),Manual winding
With papers,44 mm,,,26290IO.OO.A001VE.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-grand-prix-in-carbon--limited--boxzertif--id5403319.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Carbon,"Germany, Berlin",,,1 (mint),Automatic
With box,42 mm,,,26170ST.OO.D305CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-navy-chronograph--id5565500.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Spain, Salou",,"$14,170",1 (mint),Manual winding
,42 mm,Blue,560,-,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--id3895331.htm,,Audemars Piguet,Black,Available now,,Steel,"Germany, München",,,1 (mint),Automatic
With box,37 mm,Grey,1001 / 372,15451ST.ZZ.1256ST.01,,http://www.chrono24.com/audemarspiguet/uhr-royal-oak-lady-ref-15451stzz1256st01-diamond-automatik--id5586903.htm,Ladies' watch,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"Germany, Weißenbrunn",Date,,1 (mint),Automatic
With papers,,,,,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-tour-auto-2008--id5434957.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,Lebanon,,"$23,000",1 (mint),Automatic
With papers,36 mm,Champagne,APROYALOAK00005,ba 25730/o/0789,,http://www.chrono24.com/audemarspiguet/36mm-ref-ba-25730o0789-royal-oak-dual-time-in-18k-gelbgold-mit-box--papieren-aus-1999--id4402725.htm,Men's watch/Unisex,Audemars Piguet,Gold,Available now,Fold clasp,Yellow gold,"Germany, Berlin",Date,,1 (mint),Automatic
With papers,39 mm,Silver,670,25979OR,,http://www.chrono24.com/audemarspiguet/royal-oak-city-of-sails-alinghi---200-ex--id5347760.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,Pink gold,"France, PARIS",,,1 (mint),Automatic
With papers,42 mm,Silver,56860,25940SK,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--id4960142.htm,,Audemars Piguet,,Available now,Fold clasp,,"Italy, milano",,,1 (mint),Automatic
With papers,39 mm,White,,15202ST.OO.0944ST.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-jumbo-15202st--id1988579.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"Italy, Caldiero (Verona)",Date,,1 (mint),Automatic
With papers,44 mm,Black,,26290PO.OO.A001VE.01,30 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-grand-prix-platin--id3875965.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Platinum,"Germany, Düsseldorf",,,1 (mint),Automatic
With papers,39 mm,,,15202ST,,http://www.chrono24.com/audemarspiguet/royal-oak-jumbo--id5689871.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"France, Reims",,,1 (mint),Automatic
With papers,,,,26170ST VOLCANO,,http://www.chrono24.com/audemarspiguet/26170st00d101cr01--id4940060.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,,Steel,"France, Puget sur Argens",,,1 (mint),Automatic
With papers,42 mm,Black,,15702AU.OO.D002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-scuba-bartorelli--id4967260.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Steel,"Portugal, lisboa",,,1 (mint),Automatic
With papers,42 mm,Black,57519,25940SK,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--id5452155.htm,,Audemars Piguet,,Available now,Fold clasp,,"Italy, milano",,,1 (mint),Automatic
With papers,,,,67540SK.ZZ.A010CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-quartz--id4085115.htm,Ladies' watch,Audemars Piguet,,Available now,,Steel,"Lithuania, VILNIUS",,,0 (unworn),Quartz
With papers,42 mm,,,25940SK.OO.D002CA01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-mens-watch--id4332122.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Jewelry clasp,Steel,"United Kingdom, Shrewsbury",,,2 (fine),Automatic
With papers,,,,26120ST.OO.1220ST.03,,http://www.chrono24.com/audemarspiguet/royal-oak-stainless-steel-dual-time--id5595576.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"United Kingdom, Essex",,,1 (mint),Automatic
With papers,44 mm,Black,,26062FS.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-alingh-carbon--id5323776.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,,Carbon,"Spain, Marbella",,,1 (mint),Automatic
With papers,,,,25721ST,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id5581491.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Italy, La Spezia",,,1 (mint),Automatic
With papers,39 mm,Gold,,BA 14813.477,3 ATM,http://www.chrono24.com/audemarspiguet/royal-oak--jumbo--id4901207.htm,Men's watch/Unisex,Audemars Piguet,Gold,Available now,Fold clasp,Yellow gold,"Germany, Schwäbisch Gmünd/ Stuttgart / Koblenz",Date,,1 (mint),Automatic
With box,36 mm,Black,4832,,3 ATM,http://www.chrono24.com/audemarspiguet/royal-oak--id5576325.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,Yellow gold,"Spain, Madrid",Date,,1 (mint),Automatic
With papers,45 x 29 mm,Black,,25925OR/O/0001CR/01,,http://www.chrono24.com/audemarspiguet/edward-piquet--id2766804.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Red gold,"Germany, Düsseldorf",,,1 (mint),Automatic
